LINESTRING (-69.942631 -17.463666, -69.849799 -17.489418)
LINESTRING (-70.345787 -17.46074, -70.331795 -17.509316)
LINESTRING (-70.331795 -17.509316, -70.237453 -17.589667)
LINESTRING (-70.237453 -17.589667, -70.169974 -17.588187)
LINESTRING (-70.169974 -17.588187, -70.160799 -17.599467)
LINESTRING (-70.160799 -17.599467, -70.176 -17.65054)
LINESTRING (-70.176 -17.65054, -70.2237 -17.73754)
LINESTRING (-70.2237 -17.73754, -70.30537 -17.77724)
LINESTRING (-70.30537 -17.77724, -70.37289 -17.82543)
LINESTRING (-70.37289 -17.82543, -70.42374 -17.889834)
LINESTRING (-70.42374 -17.889834, -70.593465 -17.804084)
LINESTRING (-70.593465 -17.804084, -70.716439 -17.778096)
LINESTRING (-70.716439 -17.778096, -70.683065 -17.719625)
LINESTRING (-70.683065 -17.719625, -70.608418 -17.656283)
LINESTRING (-70.608418 -17.656283, -70.508896 -17.54534)
LINESTRING (-70.508896 -17.54534, -70.446833 -17.515907)
LINESTRING (-70.446833 -17.515907, -70.428283 -17.483342)
LINESTRING (-70.428283 -17.483342, -70.345787 -17.46074)
LINESTRING (-70.508896 -17.54534, -70.608418 -17.656283)
LINESTRING (-70.608418 -17.656283, -70.683065 -17.719625)
LINESTRING (-70.683065 -17.719625, -70.716439 -17.778096)
LINESTRING (-70.716439 -17.778096, -70.788519 -17.762764)
LINESTRING (-70.788519 -17.762764, -70.810402 -17.717699)
LINESTRING (-70.810402 -17.717699, -70.860973 -17.691391)
LINESTRING (-70.860973 -17.691391, -70.907815 -17.64722)
LINESTRING (-70.907815 -17.64722, -70.87965 -17.55524)
LINESTRING (-70.87965 -17.55524, -70.78767 -17.46028)
LINESTRING (-70.78767 -17.46028, -70.760918 -17.471289)
LINESTRING (-70.760918 -17.471289, -70.703605 -17.437717)
LINESTRING (-70.703605 -17.437717, -70.631051 -17.495721)
LINESTRING (-70.631051 -17.495721, -70.649758 -17.552584)
LINESTRING (-70.649758 -17.552584, -70.603568 -17.56723)
LINESTRING (-70.603568 -17.56723, -70.556037 -17.536488)
LINESTRING (-70.556037 -17.536488, -70.508896 -17.54534)
LINESTRING (-70.907815 -17.64722, -70.9125 -17.68737)
LINESTRING (-70.9125 -17.68737, -70.992996 -17.679119)
LINESTRING (-70.992996 -17.679119, -71.016633 -17.708769)
LINESTRING (-71.016633 -17.708769, -71.084122 -17.721276)
LINESTRING (-71.084122 -17.721276, -71.172921 -17.665154)
LINESTRING (-71.172921 -17.665154, -71.237355 -17.672805)
LINESTRING (-71.237355 -17.672805, -71.32122 -17.62247)
LINESTRING (-71.32122 -17.62247, -71.26699 -17.579539)
LINESTRING (-71.26699 -17.579539, -71.268135 -17.501252)
LINESTRING (-71.268135 -17.501252, -71.311547 -17.449564)
LINESTRING (-71.311547 -17.449564, -71.274062 -17.427154)
LINESTRING (-71.274062 -17.427154, -71.215873 -17.434666)
LINESTRING (-71.215873 -17.434666, -71.073951 -17.487467)
LINESTRING (-71.073951 -17.487467, -71.072879 -17.524703)
LINESTRING (-71.072879 -17.524703, -71.036141 -17.558023)
LINESTRING (-71.036141 -17.558023, -70.996598 -17.620787)
LINESTRING (-70.996598 -17.620787, -70.907815 -17.64722)
LINESTRING (-69.468379 -17.464799, -69.468293 -17.50417)
LINESTRING (-69.468293 -17.50417, -69.551361 -17.57509)
LINESTRING (-69.551361 -17.57509, -69.665412 -17.6599)
LINESTRING (-69.665412 -17.6599, -69.795988 -17.646242)
LINESTRING (-69.795988 -17.646242, -69.821197 -17.686355)
LINESTRING (-69.821197 -17.686355, -69.821678 -17.743812)
LINESTRING (-69.821678 -17.743812, -69.800049 -17.762332)
LINESTRING (-69.800049 -17.762332, -69.795715 -17.862258)
LINESTRING (-69.795715 -17.862258, -69.747178 -17.943937)
LINESTRING (-69.747178 -17.943937, -69.752533 -17.98799)
LINESTRING (-69.752533 -17.98799, -69.90467 -17.95829)
LINESTRING (-69.90467 -17.95829, -69.932168 -17.926121)
LINESTRING (-69.932168 -17.926121, -69.96343 -17.85435)
LINESTRING (-69.96343 -17.85435, -69.99768 -17.86292)
LINESTRING (-69.99768 -17.86292, -70.01085 -17.813408)
LINESTRING (-70.01085 -17.813408, -69.972537 -17.764207)
LINESTRING (-69.972537 -17.764207, -69.984318 -17.730594)
LINESTRING (-69.984318 -17.730594, -69.926098 -17.700254)
LINESTRING (-69.926098 -17.700254, -69.88282 -17.647682)
LINESTRING (-69.88282 -17.647682, -69.875748 -17.58484)
LINESTRING (-69.875748 -17.58484, -69.849061 -17.497387)
LINESTRING (-69.849061 -17.497387, -69.849799 -17.489418)
LINESTRING (-69.849799 -17.489418, -69.819555 -17.45465)
LINESTRING (-69.819555 -17.45465, -69.72316 -17.461047)
LINESTRING (-69.72316 -17.461047, -69.64634 -17.4103)
LINESTRING (-69.64634 -17.4103, -69.60321 -17.39666)
LINESTRING (-69.60321 -17.39666, -69.5388 -17.40597)
LINESTRING (-69.5388 -17.40597, -69.468379 -17.464799)
LINESTRING (-70.090527 -17.459068, -70.07975 -17.48551)
LINESTRING (-70.07975 -17.48551, -70.066609 -17.505564)
LINESTRING (-70.066609 -17.505564, -70.073523 -17.518734)
LINESTRING (-70.073523 -17.518734, -70.075867 -17.544285)
